"german_question_text_q","english_question_text_q","role_q","program_q","participant_id_q","question_id_q","question_language_q","age_q","gender_q","gender[other]_q","educationlevel_q","educationstatus_q","familiar_q","interviewtime_q","demographics_time_q","question_time_q","email_time_q","translation_done_q"
"Wo finde ich Informationen zur mündlichen Prüfung im Bachelor Cognitive Science?","Where can I find information about the oral exam in Bachelor Cognitive Science?","enrolled","Cognitive Science, B.Sc.","57","285","de","A2","A2","","A4","A4","A1","354.19","40.38","241.74","72.07","True"
"Wie wurde die Uni von ehemaligen Studenten bewertet? ","How was the university rated by former students?","prospective","","72","287","de","A1","A2","","A4","A2","A4","743.18","413.85","310.76","18.57","True"
"Was kannst du mir zu dem Studiengang (bsp: Jura) erzählen?","What can you tell me about the course of study (for example: law)?","enrolled","Rechtswissenschaften","77","288","de","A2","A2","","A4","A4","A2","565.25","84.76","461.16","19.33","True"
"Wie kann ich andere internationale Studenten treffen?","How can I meet other international students?","international","Cognitive Science","83","289","en","A2","A2","","A4","A5","A4","483.54","71.2","349.62","62.72","True"
"Welche Events, abgesehen vom Campus Festival, gibt es von der Universität aus? ","What events, apart from the Campus Festival, are there from the university?","prospective","","85","290","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52","True"
"Wie hoch ist die Studiengebühr für diesen Studiengang/ diese Univerität","What is the tuition fee for this course/ this university?","prospective","","86","291","de","A1","A2","","A4","A2","A3","460.74","57.33","389.96","13.45","True"
"Wo wohnen die meisten Studenten, und wie findet man ein Zimmer in Osnabrück?","Where do most students live, and how does one find a room in Osnabrück?","prospective","","88","292","de","A1","A2","","A2","A2","A2","414.7","135.11","264.4","15.19","True"
"Worauf muss ich besonders bei Hausarbeiten achten?","What should I pay special attention to when doing housework?","other","","92","293","de","A1","A2","","A2","A1","A2","303.55","63.41","232.83","7.31","True"
"Wie ist die Geschichte der Uni?","What is the history of the university?","other","","93","294","de","A1","A2","","A2","A1","A2","641.42","187.82","435.48","18.12","True"
"Gibt es Studentenwohnheime?","Are there student dormitories?","prospective","","99","296","de","A2","A2","","A2","A2","A3","1202.31","154.2","1036.36","11.75","True"
"Kann ich länger als Regelstudienzeit studieren?","Can I study longer than the standard period of study?","enrolled","Biologie","102","297","de","A2","A2","","A4","A4","A2","506.07","60.73","432.18","13.16","True"
"Gibt es verfügbare Studentenunterkünfte?","Are there student accomodations available?","international","Cognitive science","103","298","en","A3","A2","","A5","A5","A2","237.7","31.74","200.95","5.01","True"
"Wie viele Lerher gibt es an der Uni?","How many teachers are there at the university?","other","","109","299","de","A1","A2","","A2","A1","A3","278.85","83.17","187.82","7.86","True"
"Welche Berufe kann man mi dem Abschluss machen","What jobs can you do with the degree?","prospective","","112","300","de","A1","A1","","A2","A2","A1","374.51","103.69","254.58","16.24","True"
"Wie kann ich mich bewerben?","How can I apply?","other","","114","301","de","A1","A2","","A2","A1","A3","269.69","53.81","192.19","23.69","True"
"Welche Wahlpflichtkurse gibt es?","What elective courses are there?","enrolled","Soziologie","115","302","de","A3","A2","","A5","A4","A4","231.12","45.58","178.93","6.61","True"
"Welche Moeglichkeiten einer Studienfinanzierung gibt es","What are the possibilities for financing a study?","enrolled","Cognitive Science","118","304","de","A2","A2","","A4","A4","A2","493.27","35.0","423.33","34.94","True"
"Was sind die schwierigsten Studienfächer?","What are the most difficult subjects to study?","prospective","","119","305","de","A1","A1","","A2","A2","A3","180.71","41.57","133.58","5.56","True"
"Welche Karrieredienste stehen für Studenten zur Verfügung, wie Praktika, Jobmessen oder Beratung?","What are the career services available for students, such as internships, job fairs, or counseling?","international","Cognitive science","120","306","en","A2","A1","","A4","A5","A3","278.49","64.85","181.97","31.67","True"
"Worauf muss ich achten, wenn ich ein Auslandssemester antrete?","What should I pay attention to when I start a semester abroad?","enrolled","Cognitive Science","16","307","de","A2","A1","","A4","A4","A1","296.44","41.96","235.25","19.23","True"
"Muss ich vor oder während meines Studiums als Student der Kognitionswissenschaften an der Universität Osnabrück ein Praktikum absolvieren?","Do I have to complete an internship before or during my studies as a cognitive science student at Osnabrück University?","enrolled","Cognitive Science","17","308","en","A2","A2","","A4","A4","A2","415.44","38.97","356.76","19.71","True"
"Ich will meine BA schreiben, was sind formale Voraussetzungen?","I want to write my BA, what are the formal requirements?","enrolled","Bachelor of Science Cognitive Science","18","309","de","A2","A1","","A4","A4","A2","539.12","66.19","456.09","16.84","True"
"Was für Veranstaltungen stehen an?","What events are coming up?","enrolled","Cognitive Science","19","310","de","A3","A2","","A5","A4","A1","419.18","34.73","379.1","5.35","True"
"Welche Module aus Psychologie und Cognitive Science überschneiden sich und was ist Psychologie spezifisch?","Which modules from Psychology and Cognitive Science overlap and what is specific to Psychology?","enrolled","Cognitive Science","20","311","de","A2","A2","","A4","A4","A2","443.46","49.35","347.8","46.31","True"
"Wie lautet die aktuelle Prüfungsordnung für Cognitive Science Studierende im Bachelor?","What is the current examination regulations for Cognitive Science undergraduate students?","enrolled","Cognitive Science","21","312","de","A2","A2","","A5","A4","A3","848.8","55.92","751.32","41.56","True"
"wo finde ich meine Imatrikulationsunterlagen","Where can I find my enrollment documents?","enrolled","Cognitive Science","22","313","de","A3","A1","","A3","A4","A1","395.81","36.07","347.91","11.83","True"
"An wen wende ich mich bei Fragen zu meiner Studienlaufbahn?","Who do I contact with questions about my academic career?","enrolled","Cognitive Science","23","314","de","A2","A2","","A4","A4","A2","496.45","76.49","396.08","23.88","True"
"Wie kann ich meine lernen Optimierten. ","How can I optimize my learning.","international","Bachelor of Science, Cognitive Science","24","315","de","A2","A2","","A4","A5","A1","531.26","48.45","447.18","35.63","True"
"Wie wertvoll ist der Bachelor in Cognitive Science für Unternehmen, vor allem im Vergleich zu jemandem der in einem ähnlichen, weiter verbreiteten Studiengang wie z.B. Informatik seinen Bachelor abgeschlossen hat? ","How valuable is a Bachelor's degree in Cognitive Science to companies, especially compared to someone who has completed their Bachelor's degree in a similar, more widespread course of study such as Computer Science?","enrolled","Bachelor of Science, Cognitive Science","26","316","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08","True"
"Was sind die durschnitts Abschluss noten fuer verschiedene Studienganege und im allgmeinen?","What are the average graduation grades for different courses of study and in general?","enrolled","Cognitive Science","27","317","de","A2","A1","","A4","A4","A1","438.64","64.2","357.17","17.27","True"
"Was sind die Voraussetzungen um eine Bachelor-Arbeit beim Prüfungsamt anzumelden? ","What are the prerequisites to register a bachelor's thesis with the examination office?","enrolled","Cognitive Science","28","318","de","A3","A1","","A2","A4","A2","770.65","396.13","364.82","9.7","True"
"Wo kann ich auf der Website Studentenjobs finden? Gibt es eine Chance, im IT-Bereich zu arbeiten, um einige aufschlussreiche Erfahrungen zu sammeln? Ist es klug, Dozenten direkt auf Möglichkeiten anzusprechen?","Where can I find student jobs on the website? Is there a chance to work in the IT field to gain some insightful experience? Is it smart to address lecturers directly for opportunities? ","enrolled","Cognitive Science","29","319","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45","True"
"Was brauche ich alles, um mich für diesen Studiengang zu bewerben, bzw. wie läuft der gesamte Prozess genau ab?","What all do I need to apply for this course of study, or how exactly does the entire process work?","enrolled","Cognitive Science B.Sc.","31","320","de","A2","A2","","A4","A4","A3","485.73","47.36","423.78","14.59","True"
"Ist der Frosch heute geöffnet?","Is the frog open today?","enrolled","Cognitive Science","35","321","de","A2","A1","","A4","A4","A2","972.32","141.77","803.98","26.57","True"
"Was sind die Anforderungen für einen Klinischen Master in OS?","What are the requirements for a Clinical Master's in OS?","enrolled","Psychologie","36","322","de","A2","A2","","A5","A4","A2","1634.31","27.81","1526.32","80.18","True"
"Wie kann ich mich für Sprachkurse am Sprachenzentrum anmelden, und welche Sprachen werden angeboten?","How can I register for language courses at the language center, and what languages are offered?","other",".","37","323","de","A8","A3","","A10","A8","A6","651.14","419.28","194.43","37.43","True"
"Wie laufen die Bewerbungen ab? Wo finde ich diese Informationen?","How do the applications proceed? Where can I find this information?","enrolled","Lehramt für berufsbildende Schulen","39","324","de","A3","A1","","A5","A4","A2","310.06","54.0","244.02","12.04","True"
"Wann sind Semesterferien?","When is the semester break?","enrolled","","42","325","de","A2","A2","","A4","A4","A5","392.59","42.69","339.2","10.7","True"
"Wo kann ich mich für die Sprachkurse anmelden?","Where can I register for the language courses?","enrolled","Wirtschaftsrecht","43","326","de","A2","A2","","A4","A4","A3","343.07","45.47","292.08","5.52","True"
"Wie finde ich den passenden Studiengang für mich?","How do I find the right course of study for me?","enrolled","Wirtschaftsrecht","46","327","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45","True"
"Wie wurden die Antwortdaten für diesen Chatbot generiert? (Kontext: Andere ""KI-Bots"" holen ihre Datensätze auf Basis von Ausbeutung anderer Menschen)","How were the response data for this chatbot generated? (Context: Other ""AI bots"" obtain their datasets based on the exploitation of other people)","enrolled","","47","328","de","A3","-oth-","Nichtbinär","A5","A4","A3","392.53","39.66","344.84","8.03","True"
"Wen kann ich kontaktieren, um einen tropfenden Wasserhahn zu melden? ","Who can I contact to report a dripping faucet?","other","","49","329","de","A3","A2","","A6","A7","A2","531.24","61.25","464.91","5.08","True"
"Wann ist Gebäude 50 geschlossen?","When is building 50 closed?","enrolled","Cognitive Science","50","330","en","A3","A2","","A4","A4","A2","236.81","29.64","192.72","14.45","True"
"Was mache ich, wenn zum Ende meines Studiums Exkursionen fehlen, weil es keine freien Plätze gab?","What do I do if I am missing field trips at the end of my studies because there were no available spots?","enrolled","Master Lehramt an Gymnasien","51","331","de","A3","A2","","A5","A4","A3","440.72","70.19","358.17","12.36","True"
"Wie kann ich mich für ein Doktorstudium bewerben?","How can I apply for a Phd?","enrolled","Cognitive Science","52","332","en","A3","A2","","A5","A4","A1","411.74","52.45","296.34","62.95","True"
"Welche Ressourcen stehen Studierenden mit Behinderungen an der Universität Osnabrück zur Verfügung?","What resources are available to help students with disabilities at Osnabrück University?","international","Cognitive Science","53","333","en","A3","A2","","A6","A5","A1","534.43","81.53","387.84","65.06","True"
"Wo kann ich mich für Klausuren anmelden?","Where can I register for exams?","enrolled","Cognitive Science","54","334","de","A2","A2","","A4","A4","A2","420.47","58.39","343.54","18.54","True"
"Wo erfahre ich etwas über Nachteilsausgleiche?","Where can I find information about compensations for disadvantages?","enrolled","Cognitive Science, B.Sc.","57","336","de","A2","A2","","A4","A4","A1","354.19","40.38","241.74","72.07","True"
"Gibt es eine Bibliothek?","Is there a library?","prospective","","72","338","de","A1","A2","","A4","A2","A4","743.18","413.85","310.76","18.57","True"
"Wie sind die Öffnungszeiten der Bibliotheken?","What are the opening hours of the libraries?","enrolled","Rechtswissenschaften","77","339","de","A2","A2","","A4","A4","A2","565.25","84.76","461.16","19.33","True"
"Wie kann ich anfangen, mich über Austauschprogramme zu informieren?","How can I start looking into exchange programs?","international","Cognitive Science","83","340","en","A2","A2","","A4","A5","A4","483.54","71.2","349.62","62.72","True"
"Wann und wie läuft das Anmeldeverfahren ab? ","When and how does the registration process take place?","prospective","","85","341","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52","True"
"Was sind Vor- und Nachteile dieser Uni","What are the advantages and disadvantages of this university?","prospective","","86","342","de","A1","A2","","A4","A2","A3","460.74","57.33","389.96","13.45","True"
"Was macht das Studentenleben in Osnabrück besonders?","What makes student life in Osnabrück special?","prospective","","88","343","de","A1","A2","","A2","A2","A2","414.7","135.11","264.4","15.19","True"
"Wann sind die nächsten Semester Ferien?","When are the next semester holidays?","other","","92","344","de","A1","A2","","A2","A1","A2","303.55","63.41","232.83","7.31","True"
"Wie sieht die Universität aus?","What does the university look like?","other","","93","345","de","A1","A2","","A2","A1","A2","641.42","187.82","435.48","18.12","True"
"Wie sind die Vorlesungen aufgebaut?","How are the lectures structured?","prospective","","99","347","de","A2","A2","","A2","A2","A3","1202.31","154.2","1036.36","11.75","True"
"Kann ich nach dem Studiumanfang den Studiengang wechseln?","Can I change my course of study after the start of my studies?","enrolled","Biologie","102","348","de","A2","A2","","A4","A4","A2","506.07","60.73","432.18","13.16","True"
"Gibt es Stipendien?","Are there any scholarships?","international","Cognitive science","103","349","en","A3","A2","","A5","A5","A2","237.7","31.74","200.95","5.01","True"
"Bietet die Uni spezielle Aktivitäten an?","Does the university offer special activities?","other","","109","350","de","A1","A2","","A2","A1","A3","278.85","83.17","187.82","7.86","True"
"Wann macht ein Master Sinn ","When does a Master's make sense","prospective","","112","351","de","A1","A1","","A2","A2","A1","374.51","103.69","254.58","16.24","True"
"An wen kann ich mich wenden?","Who can I turn to?","other","","114","352","de","A1","A2","","A2","A1","A3","269.69","53.81","192.19","23.69","True"
"Gibt es ähnliche Studiengänge an anderen Universitäten?","Are there similar courses of study at other universities?","enrolled","Soziologie","115","353","de","A3","A2","","A5","A4","A4","231.12","45.58","178.93","6.61","True"
"Kann ich ein Auslandssemester machen?","Can I do a semester abroad?","enrolled","Cognitive Science","118","355","de","A2","A2","","A4","A4","A2","493.27","35.0","423.33","34.94","True"
"Welche Jobs kann man mit welchen Studienfächern aufnehmen?","What jobs can you take up with which fields of study?","prospective","","119","356","de","A1","A1","","A2","A2","A3","180.71","41.57","133.58","5.56","True"
"Was können Sie tun, um mir zu helfen? Was sind Ihre Fähigkeiten?","what can you do to help me? what's your capability?","international","Cognitive science","120","357","en","A2","A1","","A4","A5","A3","278.49","64.85","181.97","31.67","True"
"Wenn alles was Unternehmen über mich wissen ist, dass ich einen Bachelor in Cognitive Science habe, welche Unternehmen wären daran interessiert mich einzustellen?","If all a company knows about me is that I have a Bachelor's degree in Cognitive Science, which companies would be interested in hiring me?","enrolled","Bachelor of Science, Cognitive Science","26","359","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08","True"
"Ich habe eine Idee, wie man die Vorlesungsaufzeichnungen verbessern kann. Mit wem kann ich sprechen, um meine Ideen zu diskutieren?","I have an idea how to improve the lecture recordings. Who can I talk to to discuss my ideas? ","enrolled","Cognitive Science","29","360","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45","True"
"Wie genau funktioniert das mit den Langzeitstudiengebühren?","How exactly do the long-term study fees work?","enrolled","Wirtschaftsrecht","46","361","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45","True"
"Wann wird der NC für Psychologie veröffentlicht? Gibt es einen bestimmten Wert mit dem man rechnen kann? ","When will the NC for Psychology be published? Is there a specific value one can expect?","prospective","","85","362","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52","True"
"Ich habe meine Campuskarte verloren. wie kriege ich eine neue?","I have lost my campus card. How do I get a new one?","enrolled","Cognitive Science","22","364","de","A3","A1","","A3","A4","A1","395.81","36.07","347.91","11.83","True"
"Welches Wissen aus dem Bereich Cognitive Science ist für verschiedene Unternehmen am relevantesten? ","Which knowledge from the field of Cognitive Science is most relevant for various companies?","enrolled","Bachelor of Science, Cognitive Science","26","365","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08","True"
"Wen kann ich bei konkreten Fragen zum Studienalltag kontaktieren, wenn ich gern mit einem Menschen sprechen möchte?","Who can I contact with specific questions about everyday student life if I would like to speak with a person?","enrolled","Wirtschaftsrecht","46","366","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45","True"
"Gibt es Besonderheiten für Psychologie in Osnabrück und in welche Richtungen kann ich mich später spezialisieren? ","Are there any special features for psychology in Osnabrück and in which directions can I specialize later?","prospective","","85","367","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52","True"
"Wo kann ich sehen ab wann ich mich für Psychologie einschreiben kann? ","Where can I see from when I can enroll for psychology?","prospective","","85","370","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52","True"
